                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.2429,                0.70368,                 1.0776,                0.88242,                0.72557,                0.81942,                0.50024,                 1.1521,                0.55789,                 1.0362,              0.0070795,              0.0070795,              0.0070795
                    120,                 1.2319,                0.69648,                 1.0686,                0.88986,                0.72776,                0.82069,                0.49772,                 1.1493,                0.55025,                  1.041,              0.0070547,              0.0070547,              0.0070547
                    121,                 1.2395,                0.69601,                 1.0745,                0.88997,                0.72865,                0.82068,                0.50256,                 1.1465,                0.54886,                 1.0453,                0.00703,                0.00703,                0.00703
                    122,                 1.2339,                0.69365,                 1.0751,                0.89195,                0.72888,                0.82089,                0.50065,                 1.1439,                 0.5503,                 1.0415,              0.0070053,              0.0070053,              0.0070053
                    123,                 1.2416,                0.70006,                 1.0795,                0.89359,                0.72791,                0.82305,                0.50205,                 1.1455,                0.54773,                 1.0453,              0.0069805,              0.0069805,              0.0069805
                    124,                 1.2407,                0.70656,                 1.0754,                0.88168,                0.72909,                0.82127,                0.50468,                 1.1486,                0.54893,                 1.0473,              0.0069558,              0.0069558,              0.0069558
                    125,                 1.2252,                0.69397,                  1.067,                0.88718,                0.73572,                 0.8251,                 0.5021,                 1.1527,                0.54906,                 1.0503,               0.006931,               0.006931,               0.006931
                    126,                 1.2311,                0.69857,                 1.0647,                0.88823,                0.73287,                0.82547,                0.50384,                 1.1466,                0.55007,                 1.0501,              0.0069063,              0.0069063,              0.0069063
                    127,                  1.225,                0.68574,                  1.065,                0.86859,                0.73946,                0.82353,                0.50279,                 1.1491,                 0.5523,                 1.0522,              0.0068815,              0.0068815,              0.0068815
                    128,                 1.2273,                0.68705,                 1.0639,                0.86556,                0.73981,                0.82272,                0.50203,                 1.1472,                0.54783,                 1.0518,              0.0068568,              0.0068568,              0.0068568
                    129,                 1.2366,                0.69191,                 1.0737,                0.86723,                0.74073,                0.82183,                0.50056,                 1.1537,                0.54938,                 1.0558,               0.006832,               0.006832,               0.006832
                    130,                 1.2242,                0.69552,                  1.075,                0.86809,                0.74109,                 0.8223,                0.50131,                   1.15,                 0.5485,                 1.0586,              0.0068073,              0.0068073,              0.0068073
                    131,                 1.2304,                0.68698,                  1.067,                0.87216,                0.74063,                0.82528,                0.50374,                 1.1492,                0.54909,                 1.0576,              0.0067825,              0.0067825,              0.0067825
